Ticker,Price_to_Earnings,Dividend_Yield,Dividend_Date,UNIX_Div_Date
TYT.L,0.104543544,0.0219,28-09-2023,1695859200
AZNL.XC,3557.0469,0.0223,10-08-2023,1691625600
AZN.L,35.656567,0.0223,10-08-2023,1691625600
SHELL.XC,714.80365,0.0438,16-11-2023,1700092800
SHEL.L,7.1344414,0.0444,16-11-2023,1700092800
BHPL.XC,1182.5,0.0591,07-09-2023,1694044800
BHP.L,11.8175,0.0587,07-09-2023,1694044800
HSBAL.XC,548.1651,0.072,09-11-2023,1699488000
HSBA.L,5.478899,0.0721,09-11-2023,1699488000
BP-A.L,NULL,NULL,NULL,NULL
BP-B.L,NULL,NULL,NULL,NULL
BC94.L,4.0286536,NULL,NULL,NULL
ULVRL.XC,1327.2401,0.0404,16-11-2023,1700092800
ULVR.L,13.240143,0.0404,16-11-2023,1700092800
RIO.L,12.742168,0.060100004,10-08-2023,1691625600
RIOL.XC,1275.4216,0.06,10-08-2023,1691625600
BPL.XC,409.77063,0.0497,09-11-2023,1699488000
BP.L,4.0922017,0.050100002,09-11-2023,1699488000
GSK.L,10.512162,0.0358,16-11-2023,1700092800
GSKL.XC,1050.9459,0.0359,16-11-2023,1700092800
REL.L,35.956043,0.017,03-08-2023,1691020800
RELL.XC,3592.3076,0.017,03-08-2023,1691020800
DGEL.XC,1642.1212,0.0294,24-08-2023,1692835200
DGE.L,16.466463,0.0295,24-08-2023,1692835200
BATS.L,6.0322995,0.1001,21-12-2023,1703116800
BNC.L,6.0769234,0.045900002,31-10-2023,1698710400
LSEG.L,76.08264,0.0121,17-08-2023,1692230400
GLEN.L,6.631666,0.0855,31-08-2023,1693440000
GLENL.XC,663.25,0.0868,31-08-2023,1693440000
GACA.L,2.1249998,NULL,NULL,NULL
SANB.L,0.30454546,NULL,NULL,NULL
RKTL.XC,1792.233,0.0334,03-08-2023,1691020800
RKT.L,17.858065,0.0335,03-08-2023,1691020800
CRH.L,18.29703,0.0195,14-12-2023,1702512000
CRHL.XC,1831.0231,0.0194,14-12-2023,1702512000
GACB.L,1.9916667,NULL,NULL,NULL
NGL.XC,1497.826,0.0556,23-11-2023,1700697600
NG.L,14.94203,0.0555,23-11-2023,1700697600
0M69.IL,3.8880227,0.0238,25-05-2023,1684972800
CPGL.XC,2888.0,0.0199,18-01-2024,1705536000
CPG.L,28.866667,0.0199,18-01-2024,1705536000
BAL.XC,1882.258,0.024,19-10-2023,1697673600
BA.L,18.830645,0.0239,19-10-2023,1697673600
NOVOBC.XC,43.54491,0.0097,18-08-2023,1692316800
0QIU.IL,49.259758,0.0104,18-08-2023,1692316800
WDSL.XC,548.97955,0.113900006,31-08-2023,1693440000
LLOY.L,4.8244443,0.0591,03-08-2023,1691020800
FERGL.XC,2161.3833,0.0167,14-12-2023,1702512000
WDS.L,5.4761906,0.1161,31-08-2023,1693440000
0R2V.IL,32.516777,0.0054,11-08-2023,1691712000
AAPL,31.708809,0.005,10-11-2023,1699574400
HLN.L,24.923079,0.011,24-08-2023,1692835200
HLNL.XC,2493.0771,0.011,24-08-2023,1692835200
EXPN.L,36.625,0.0138,04-01-2024,1704326400
EXPNL.XC,3655.682,0.0137,04-01-2024,1704326400
MSFT,38.517036,0.0075,14-02-2024,1707868800
0QYP.IL,38.894276,0.0087,15-11-2023,1700006400
FLTRL.XC,NULL,NULL,NULL,NULL
FLTR.L,NULL,NULL,NULL,NULL
MSFD.XC,38.581226,0.0075,14-02-2024,1707868800
LLOYL.XC,483.77777,0.0592,03-08-2023,1691020800
APCD.XC,30.969805,0.0050999997,10-11-2023,1699574400
0Z4S.IL,12.152225,0.0083,22-05-2023,1684713600
RR.L,15.445,NULL,NULL,NULL
RRL.XC,1535.0,NULL,NULL,NULL
AAL.L,12.971851,0.0581,17-08-2023,1692230400
AALL.XC,1298.5186,0.058000002,17-08-2023,1692230400
0RUK.IL,4.4883413,0.121199995,20-07-2023,1689811200
III.L,4.9664574,NULL,NULL,NULL
PRUL.XC,805.8586,0.0199,07-09-2023,1694044800
BARCL.XC,426.52942,0.0545,10-08-2023,1691625600
BARC.L,4.2629414,0.0546,10-08-2023,1691625600
AHT.L,16.28188,0.0166,11-01-2024,1704931200
AHTL.XC,1633.2214,0.0165,11-01-2024,1704931200
0R22.IL,NULL,NULL,NULL,NULL
TSCOL.XC,1490.5,0.0369,12-10-2023,1697068800
TSCO.L,14.92,0.0368,12-10-2023,1697068800
NWG.L,4.359184,0.074499995,10-08-2023,1691625600
STAN.L,11.384314,0.0278,10-08-2023,1691625600
SSEL.XC,3301.887,0.0498,11-01-2024,1704931200
SSE.L,32.933964,0.0499,11-01-2024,1704931200
0RYA.IL,1566.6666,NULL,NULL,NULL
VOD.L,2.0645454,0.1158,23-11-2023,1700697600
VODL.XC,206.72726,0.1158,23-11-2023,1700697600
GOOG,28.486591,NULL,NULL,NULL
GOOGL,28.10325,NULL,NULL,NULL
0HD6.IL,27.574072,NULL,NULL,NULL
0RIH.IL,27.268518,NULL,NULL,NULL
NWGL.XC,435.91837,0.0746,10-08-2023,1691625600
0RYAL.XC,925.74854,NULL,NULL,NULL
ABF.L,16.925373,0.0211,14-12-2023,1702512000
ABFL.XC,1688.8059,0.0211,14-12-2023,1702512000
ABEAD.XC,28.17119,NULL,NULL,NULL
IMBL.XC,752.98804,0.078,15-02-2024,1707955200
IMB.L,7.521912,0.078099996,15-02-2024,1707955200
ABECD.XC,27.8,NULL,NULL,NULL
WPM.L,39.24731,0.012999999,27-11-2023,1701043200
AMZN,81.06021,NULL,NULL,NULL
CCLL.XC,NULL,NULL,NULL,NULL
CCL.L,NULL,NULL,NULL,NULL
ANTOL.XC,1220.7031,0.0315,31-08-2023,1693440000
ANTO.L,12.183595,0.0315,31-08-2023,1693440000
STANL.XC,1137.6471,0.0278,10-08-2023,1691625600
LGENL.XC,784.0625,0.0795,24-08-2023,1692835200
LGEN.L,7.83125,0.0796,24-08-2023,1692835200
AMZD.XC,81.40909,NULL,NULL,NULL
NVDA,79.4418,0.00029999999,05-12-2023,1701734400
NVDD.XC,76.28408,0.00029999999,05-12-2023,1701734400
IHGL.XC,2710.1084,0.0155,31-08-2023,1693440000
IHG.L,26.942448,0.0155,31-08-2023,1693440000
KNM.L,0.29185385,0.0139999995,28-03-2024,1711584000
