,Tickers
0,TYT.L
1,AZNL.XC
2,AZN.L
3,SHELL.XC
4,SHEL.L
5,BHPL.XC
6,BHP.L
7,HSBAL.XC
8,HSBA.L
9,BP-A.L
10,BP-B.L
11,BC94.L
12,ULVRL.XC
13,ULVR.L
14,RIO.L
15,RIOL.XC
16,BPL.XC
17,BP.L
18,GSK.L
19,GSKL.XC
20,REL.L
21,RELL.XC
22,DGEL.XC
23,DGE.L
24,BATS.L
25,BNC.L
26,LSEG.L
27,GLEN.L
28,GLENL.XC
29,GACA.L
30,SANB.L
31,RKTL.XC
32,RKT.L
33,CRH.L
34,CRHL.XC
35,GACB.L
36,NGL.XC
37,NG.L
38,0M69.IL
39,CPGL.XC
40,CPG.L
41,BAL.XC
42,BA.L
43,NOVOBC.XC
44,0QIU.IL
45,WDSL.XC
46,LLOY.L
47,FERGL.XC
48,WDS.L
49,0R2V.IL
50,AAPL
51,HLN.L
52,HLNL.XC
53,EXPN.L
54,EXPNL.XC
55,MSFT
56,0QYP.IL
57,FLTRL.XC
58,FLTR.L
59,MSFD.XC
60,LLOYL.XC
61,APCD.XC
62,0Z4S.IL
63,RR.L
64,RRL.XC
65,AAL.L
66,AALL.XC
67,0RUK.IL
68,III.L
69,PRUL.XC
70,BARCL.XC
71,BARC.L
72,AHT.L
73,AHTL.XC
74,0R22.IL
75,TSCOL.XC
76,TSCO.L
77,NWG.L
78,STAN.L
79,SSEL.XC
80,SSE.L
81,0RYA.IL
82,VOD.L
83,VODL.XC
84,GOOG
85,GOOGL
86,0HD6.IL
87,0RIH.IL
88,NWGL.XC
89,0RYAL.XC
90,ABF.L
91,ABFL.XC
92,ABEAD.XC
93,IMBL.XC
94,IMB.L
95,ABECD.XC
96,WPM.L
97,AMZN
98,CCLL.XC
99,CCL.L
100,ANTOL.XC
101,ANTO.L
102,STANL.XC
103,LGENL.XC
104,LGEN.L
105,AMZD.XC
106,NVDA
107,NVDD.XC
108,IHGL.XC
109,IHG.L
110,KNM.L
111,AV.L
112,AVL.XC
113,SGEL.XC
114,SGE.L
115,BTL.XC
116,BT-A.L
117,BNZLL.XC
118,BNZL.L
119,NXT.L
120,SMTL.XC
121,SMT.L
122,SGROL.XC
123,SGRO.L
124,INFL.XC
125,INF.L
126,0QZI.IL
127,RTOL.XC
128,RTO.L
129,META
130,SNL.XC
131,SN.L
132,AIBG.L
133,FB2AD.XC
134,WISEL.XC
135,WISE.L
136,0M2Z.IL
137,CCHL.XC
138,CCH.L
139,0R37.IL
140,HLMAL.XC
141,HLMA.L
142,0XXT.IL
143,0XXV.IL
144,BRK-A
145,BRK-B
146,0NUG.L
147,ATCOAS.XC
148,WPPL.XC
149,WPP.L
150,MRO.L
151,ADML.XC
152,ADM.L
153,MROL.XC
154,CNAL.XC
155,CNA.L
156,SVTL.XC
157,SVT.L
158,SKG.L
159,SKGL.XC
160,RICO.L
161,S32L.XC
162,S32.L
163,BRYND.XC
164,SPXL.XC
165,SPX.L
166,IAG.L
167,IAGL.XC
168,UU.L
169,UUL.XC
170,ITRKL.XC
171,ITRK.L
172,PSH.L
173,PSHL.XC
174,MNDI.L
175,MNDIL.XC
176,PSON.L
177,PSONL.XC
178,WTB.L
179,WTBL.XC
180,SBRYL.XC
181,SDR.L
182,SDRL.XC
183,SBRY.L
184,AUTOL.XC
185,AUTO.L
186,TSLA
187,AV-A.L
188,0NC6.IL
189,TL0D.XC
190,ENT.L
191,ENTL.XC
192,CRDAL.XC
193,AV-B.L
194,JDL.XC
195,LLY
196,JD.L
197,0LCV.IL
198,0RJ4.IL
199,SMIN.L
200,TSM
201,SMINL.XC
202,AVGO
203,JPM
204,DCCL.XC
205,DCC.L
206,V
207,1YDD.XC
208,BMEL.XC
209,BME.L
210,MNGL.XC
211,MNG.L
212,BDEVL.XC
213,0NZF.IL
214,BDEV.L
215,0LOS.L
216,TW.L
217,PHNXL.XC
218,BKGL.XC
219,TWL.XC
220,PHNX.L
221,BKG.L
222,0HTP.IL
223,CTECL.XC
224,CTEC.L
225,3V64D.XC
226,VOLVBS.XC
227,MKSL.XC
228,MKS.L
229,0Q1F.IL
230,FCIT.L
231,FCITL.XC
232,LANDL.XC
233,0YXG.L
234,LAND.L
235,OCDOL.XC
236,OCDO.L
237,AAFL.XC
238,AAF.L
239,INVR.L
